[2025-04-08T12:33:14.406+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-04-08T12:33:14.508+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T12:33:01.915977+00:00 [queued]>
[2025-04-08T12:33:14.526+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T12:33:01.915977+00:00 [queued]>
[2025-04-08T12:33:14.528+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 4
[2025-04-08T12:33:14.558+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): camada_bronze> on 2025-04-08 12:33:01.915977+00:00
[2025-04-08T12:33:14.578+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=2154) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-08T12:33:14.594+0000] {standard_task_runner.py:63} INFO - Started process 2156 to run task
[2025-04-08T12:33:14.594+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'pipeline_cervejarias_dag', 'camada_bronze', 'manual__2025-04-08T12:33:01.915977+00:00', '--job-id', '26', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_cervejarias_dag.py', '--cfg-path', '/tmp/tmpu2dk6us1']
[2025-04-08T12:33:14.596+0000] {standard_task_runner.py:91} INFO - Job 26: Subtask camada_bronze
[2025-04-08T12:33:14.752+0000] {task_command.py:426} INFO - Running <TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T12:33:01.915977+00:00 [running]> on host b92eb4eb8cda
[2025-04-08T12:33:14.902+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='pipeline_cervejarias_dag' AIRFLOW_CTX_TASK_ID='camada_bronze' AIRFLOW_CTX_EXECUTION_DATE='2025-04-08T12:33:01.915977+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-08T12:33:01.915977+00:00'
[2025-04-08T12:33:14.905+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-04-08T12:33:14.906+0000] {bronze.py:66} INFO - Iniciando extração paralela da API Open Brewery DB...
[2025-04-08T12:33:14.907+0000] {bronze.py:43} INFO - Descobrindo total de páginas disponíveis...
[2025-04-08T12:33:16.079+0000] {bronze.py:30} INFO - Página 1 retornou 50 registros.
[2025-04-08T12:33:17.009+0000] {bronze.py:30} INFO - Página 2 retornou 50 registros.
[2025-04-08T12:33:18.362+0000] {bronze.py:30} INFO - Página 3 retornou 50 registros.
[2025-04-08T12:33:19.500+0000] {bronze.py:30} INFO - Página 4 retornou 50 registros.
[2025-04-08T12:33:21.023+0000] {bronze.py:30} INFO - Página 5 retornou 50 registros.
[2025-04-08T12:33:22.183+0000] {bronze.py:30} INFO - Página 6 retornou 50 registros.
[2025-04-08T12:33:23.108+0000] {bronze.py:30} INFO - Página 7 retornou 50 registros.
[2025-04-08T12:33:24.107+0000] {bronze.py:30} INFO - Página 8 retornou 50 registros.
[2025-04-08T12:33:24.961+0000] {bronze.py:30} INFO - Página 9 retornou 50 registros.
[2025-04-08T12:33:25.866+0000] {bronze.py:30} INFO - Página 10 retornou 50 registros.
[2025-04-08T12:33:27.290+0000] {bronze.py:30} INFO - Página 11 retornou 50 registros.
[2025-04-08T12:33:28.256+0000] {bronze.py:30} INFO - Página 12 retornou 50 registros.
[2025-04-08T12:33:29.503+0000] {bronze.py:30} INFO - Página 13 retornou 50 registros.
[2025-04-08T12:33:30.388+0000] {bronze.py:30} INFO - Página 14 retornou 50 registros.
[2025-04-08T12:33:31.254+0000] {bronze.py:30} INFO - Página 15 retornou 50 registros.
[2025-04-08T12:33:32.151+0000] {bronze.py:30} INFO - Página 16 retornou 50 registros.
