[2025-04-08T08:04:00.277+0000] {bronze.py:20} INFO - Página 41 retornou 50 registros.
[2025-04-08T08:04:01.413+0000] {bronze.py:20} INFO - Página 42 retornou 50 registros.
[2025-04-08T08:04:02.520+0000] {bronze.py:20} INFO - Página 43 retornou 50 registros.
[2025-04-08T08:04:03.935+0000] {bronze.py:20} INFO - Página 44 retornou 50 registros.
[2025-04-08T08:04:05.357+0000] {bronze.py:20} INFO - Página 45 retornou 50 registros.
[2025-04-08T08:04:06.389+0000] {bronze.py:20} INFO - Página 46 retornou 50 registros.
[2025-04-08T08:04:07.834+0000] {bronze.py:20} INFO - Página 47 retornou 50 registros.
[2025-04-08T08:04:08.843+0000] {bronze.py:20} INFO - Página 48 retornou 50 registros.
[2025-04-08T08:04:09.656+0000] {bronze.py:20} INFO - Página 49 retornou 50 registros.
[2025-04-08T08:04:11.055+0000] {bronze.py:20} INFO - Página 50 retornou 50 registros.
[2025-04-08T08:04:12.228+0000] {bronze.py:20} INFO - Página 51 retornou 50 registros.
[2025-04-08T08:04:12.966+0000] {bronze.py:20} INFO - Página 52 retornou 50 registros.
[2025-04-08T08:04:14.021+0000] {bronze.py:20} INFO - Página 53 retornou 50 registros.
[2025-04-08T08:04:14.929+0000] {bronze.py:20} INFO - Página 54 retornou 50 registros.
[2025-04-08T08:04:16.001+0000] {bronze.py:20} INFO - Página 55 retornou 50 registros.
[2025-04-08T08:04:17.281+0000] {bronze.py:20} INFO - Página 56 retornou 50 registros.
[2025-04-08T08:04:18.355+0000] {bronze.py:20} INFO - Página 57 retornou 50 registros.
[2025-04-08T08:04:19.165+0000] {bronze.py:20} INFO - Página 58 retornou 50 registros.
[2025-04-08T08:04:20.320+0000] {bronze.py:20} INFO - Página 59 retornou 50 registros.
[2025-04-08T08:04:22.159+0000] {bronze.py:20} INFO - Página 60 retornou 50 registros.
[2025-04-08T08:04:23.154+0000] {bronze.py:20} INFO - Página 61 retornou 50 registros.
[2025-04-08T08:04:24.099+0000] {bronze.py:20} INFO - Página 62 retornou 50 registros.
[2025-04-08T08:04:25.371+0000] {bronze.py:20} INFO - Página 63 retornou 50 registros.
[2025-04-08T08:04:26.645+0000] {bronze.py:20} INFO - Página 64 retornou 50 registros.
[2025-04-08T08:04:27.665+0000] {bronze.py:20} INFO - Página 65 retornou 50 registros.
[2025-04-08T08:04:28.638+0000] {bronze.py:20} INFO - Página 66 retornou 50 registros.
[2025-04-08T08:04:29.480+0000] {bronze.py:20} INFO - Página 67 retornou 50 registros.
[2025-04-08T08:04:30.578+0000] {bronze.py:20} INFO - Página 68 retornou 50 registros.
[2025-04-08T08:04:31.390+0000] {bronze.py:20} INFO - Página 69 retornou 50 registros.
[2025-04-08T08:04:32.459+0000] {bronze.py:20} INFO - Página 70 retornou 50 registros.
[2025-04-08T08:04:33.413+0000] {bronze.py:20} INFO - Página 71 retornou 50 registros.
[2025-04-08T08:04:34.410+0000] {bronze.py:20} INFO - Página 72 retornou 50 registros.
[2025-04-08T08:04:35.283+0000] {bronze.py:20} INFO - Página 73 retornou 50 registros.
[2025-04-08T08:04:36.081+0000] {bronze.py:20} INFO - Página 74 retornou 50 registros.
[2025-04-08T08:04:37.091+0000] {bronze.py:20} INFO - Página 75 retornou 50 registros.
[2025-04-08T08:04:37.922+0000] {bronze.py:20} INFO - Página 76 retornou 50 registros.
[2025-04-08T08:04:38.369+0000] {bronze.py:20} INFO - Página 77 retornou 50 registros.
[2025-04-08T08:04:39.145+0000] {bronze.py:20} INFO - Página 78 retornou 50 registros.
[2025-04-08T08:04:39.632+0000] {bronze.py:20} INFO - Página 79 retornou 50 registros.
[2025-04-08T08:04:40.494+0000] {bronze.py:20} INFO - Página 80 retornou 50 registros.
[2025-04-08T08:04:41.296+0000] {bronze.py:20} INFO - Página 81 retornou 50 registros.
[2025-04-08T08:04:42.109+0000] {bronze.py:20} INFO - Página 82 retornou 50 registros.
[2025-04-08T08:04:42.922+0000] {bronze.py:20} INFO - Página 83 retornou 50 registros.
[2025-04-08T08:04:43.740+0000] {bronze.py:20} INFO - Página 84 retornou 50 registros.
[2025-04-08T08:04:44.629+0000] {bronze.py:20} INFO - Página 85 retornou 50 registros.
[2025-04-08T08:04:45.472+0000] {bronze.py:20} INFO - Página 86 retornou 50 registros.
[2025-04-08T08:04:46.573+0000] {bronze.py:20} INFO - Página 87 retornou 50 registros.
[2025-04-08T08:04:47.078+0000] {bronze.py:20} INFO - Página 88 retornou 50 registros.
[2025-04-08T08:04:47.485+0000] {bronze.py:20} INFO - Página 89 retornou 50 registros.
[2025-04-08T08:04:48.390+0000] {bronze.py:20} INFO - Página 90 retornou 50 registros.
[2025-04-08T08:04:48.795+0000] {bronze.py:20} INFO - Página 91 retornou 50 registros.
[2025-04-08T08:04:49.646+0000] {bronze.py:20} INFO - Página 92 retornou 50 registros.
[2025-04-08T08:04:50.236+0000] {bronze.py:20} INFO - Página 93 retornou 50 registros.
[2025-04-08T08:04:50.694+0000] {bronze.py:20} INFO - Página 94 retornou 50 registros.
[2025-04-08T08:04:51.523+0000] {bronze.py:20} INFO - Página 95 retornou 50 registros.
[2025-04-08T08:04:52.486+0000] {bronze.py:20} INFO - Página 96 retornou 50 registros.
[2025-04-08T08:04:53.377+0000] {bronze.py:20} INFO - Página 97 retornou 50 registros.
[2025-04-08T08:04:54.483+0000] {bronze.py:20} INFO - Página 98 retornou 50 registros.
[2025-04-08T08:04:55.976+0000] {bronze.py:20} INFO - Página 99 retornou 50 registros.
[2025-04-08T08:04:57.471+0000] {bronze.py:20} INFO - Página 100 retornou 50 registros.
[2025-04-08T08:04:58.617+0000] {bronze.py:20} INFO - Página 101 retornou 50 registros.
[2025-04-08T08:04:59.535+0000] {bronze.py:20} INFO - Página 102 retornou 50 registros.
[2025-04-08T08:05:00.590+0000] {bronze.py:20} INFO - Página 103 retornou 50 registros.
[2025-04-08T08:05:01.089+0000] {bronze.py:20} INFO - Página 104 retornou 50 registros.
[2025-04-08T08:05:01.968+0000] {bronze.py:20} INFO - Página 105 retornou 50 registros.
[2025-04-08T08:05:02.947+0000] {bronze.py:20} INFO - Página 106 retornou 50 registros.
[2025-04-08T08:05:03.798+0000] {bronze.py:20} INFO - Página 107 retornou 50 registros.
[2025-04-08T08:05:04.693+0000] {bronze.py:20} INFO - Página 108 retornou 50 registros.
[2025-04-08T08:05:05.598+0000] {bronze.py:20} INFO - Página 109 retornou 50 registros.
[2025-04-08T08:05:06.593+0000] {bronze.py:20} INFO - Página 110 retornou 50 registros.
[2025-04-08T08:05:07.423+0000] {bronze.py:20} INFO - Página 111 retornou 50 registros.
[2025-04-08T08:05:08.535+0000] {bronze.py:20} INFO - Página 112 retornou 50 registros.
[2025-04-08T08:05:09.381+0000] {bronze.py:20} INFO - Página 113 retornou 50 registros.
[2025-04-08T08:05:10.230+0000] {bronze.py:20} INFO - Página 114 retornou 50 registros.
[2025-04-08T08:05:11.467+0000] {bronze.py:20} INFO - Página 115 retornou 50 registros.
[2025-04-08T08:05:12.315+0000] {bronze.py:20} INFO - Página 116 retornou 50 registros.
[2025-04-08T08:05:12.743+0000] {bronze.py:20} INFO - Página 117 retornou 50 registros.
[2025-04-08T08:05:13.501+0000] {bronze.py:20} INFO - Página 118 retornou 50 registros.
[2025-04-08T08:05:14.320+0000] {bronze.py:20} INFO - Página 119 retornou 50 registros.
[2025-04-08T08:05:15.080+0000] {bronze.py:20} INFO - Página 120 retornou 50 registros.
[2025-04-08T08:05:15.515+0000] {bronze.py:20} INFO - Página 121 retornou 50 registros.
[2025-04-08T08:05:16.613+0000] {bronze.py:20} INFO - Página 122 retornou 50 registros.
[2025-04-08T08:05:17.859+0000] {bronze.py:20} INFO - Página 123 retornou 50 registros.
[2025-04-08T08:05:18.842+0000] {bronze.py:20} INFO - Página 124 retornou 50 registros.
[2025-04-08T08:05:19.639+0000] {bronze.py:20} INFO - Página 125 retornou 50 registros.
[2025-04-08T08:05:20.719+0000] {bronze.py:20} INFO - Página 126 retornou 50 registros.
[2025-04-08T08:05:21.269+0000] {bronze.py:20} INFO - Página 127 retornou 50 registros.
[2025-04-08T08:05:22.009+0000] {bronze.py:20} INFO - Página 128 retornou 50 registros.
[2025-04-08T08:05:22.989+0000] {bronze.py:20} INFO - Página 129 retornou 50 registros.
[2025-04-08T08:05:24.085+0000] {bronze.py:20} INFO - Página 130 retornou 50 registros.
[2025-04-08T08:05:25.352+0000] {bronze.py:20} INFO - Página 131 retornou 50 registros.
[2025-04-08T08:05:26.767+0000] {bronze.py:20} INFO - Página 132 retornou 50 registros.
[2025-04-08T08:05:27.864+0000] {bronze.py:20} INFO - Página 133 retornou 50 registros.
[2025-04-08T08:05:28.846+0000] {bronze.py:20} INFO - Página 134 retornou 50 registros.
[2025-04-08T08:05:29.784+0000] {bronze.py:20} INFO - Página 135 retornou 50 registros.
[2025-04-08T08:05:30.689+0000] {bronze.py:20} INFO - Página 136 retornou 50 registros.
[2025-04-08T08:05:31.507+0000] {bronze.py:20} INFO - Página 137 retornou 50 registros.
[2025-04-08T08:05:32.306+0000] {bronze.py:20} INFO - Página 138 retornou 50 registros.
[2025-04-08T08:05:33.082+0000] {bronze.py:20} INFO - Página 139 retornou 50 registros.
[2025-04-08T08:05:33.501+0000] {bronze.py:20} INFO - Página 140 retornou 50 registros.
[2025-04-08T08:05:34.313+0000] {bronze.py:20} INFO - Página 141 retornou 50 registros.
[2025-04-08T08:05:35.305+0000] {bronze.py:20} INFO - Página 142 retornou 50 registros.
[2025-04-08T08:05:36.301+0000] {bronze.py:20} INFO - Página 143 retornou 50 registros.
[2025-04-08T08:05:37.836+0000] {bronze.py:20} INFO - Página 144 retornou 50 registros.
[2025-04-08T08:05:38.379+0000] {bronze.py:20} INFO - Página 145 retornou 50 registros.
[2025-04-08T08:05:39.238+0000] {bronze.py:20} INFO - Página 146 retornou 50 registros.
[2025-04-08T08:05:40.487+0000] {bronze.py:20} INFO - Página 147 retornou 50 registros.
[2025-04-08T08:05:41.340+0000] {bronze.py:20} INFO - Página 148 retornou 50 registros.
[2025-04-08T08:05:41.814+0000] {bronze.py:20} INFO - Página 149 retornou 50 registros.
[2025-04-08T08:05:42.731+0000] {bronze.py:20} INFO - Página 150 retornou 50 registros.
[2025-04-08T08:05:43.504+0000] {bronze.py:20} INFO - Página 151 retornou 50 registros.
[2025-04-08T08:05:43.964+0000] {bronze.py:20} INFO - Página 152 retornou 50 registros.
[2025-04-08T08:05:45.038+0000] {bronze.py:20} INFO - Página 153 retornou 50 registros.
[2025-04-08T08:05:46.430+0000] {bronze.py:20} INFO - Página 154 retornou 50 registros.
[2025-04-08T08:05:47.516+0000] {bronze.py:20} INFO - Página 155 retornou 50 registros.
[2025-04-08T08:05:48.043+0000] {bronze.py:20} INFO - Página 156 retornou 50 registros.
[2025-04-08T08:05:48.921+0000] {bronze.py:20} INFO - Página 157 retornou 50 registros.
[2025-04-08T08:05:50.495+0000] {bronze.py:20} INFO - Página 158 retornou 50 registros.
[2025-04-08T08:05:51.483+0000] {bronze.py:20} INFO - Página 159 retornou 50 registros.
[2025-04-08T08:05:52.648+0000] {bronze.py:20} INFO - Página 160 retornou 50 registros.
[2025-04-08T08:05:53.930+0000] {bronze.py:20} INFO - Página 161 retornou 50 registros.
[2025-04-08T08:05:54.981+0000] {bronze.py:20} INFO - Página 162 retornou 50 registros.
[2025-04-08T08:05:55.802+0000] {bronze.py:20} INFO - Página 163 retornou 50 registros.
[2025-04-08T08:05:56.781+0000] {bronze.py:20} INFO - Página 164 retornou 50 registros.
[2025-04-08T08:05:57.511+0000] {bronze.py:20} INFO - Página 165 retornou 50 registros.
[2025-04-08T08:05:58.358+0000] {bronze.py:20} INFO - Página 166 retornou 50 registros.
[2025-04-08T08:05:59.257+0000] {bronze.py:20} INFO - Página 167 retornou 50 registros.
[2025-04-08T08:06:00.235+0000] {bronze.py:20} INFO - Página 168 retornou 19 registros.
[2025-04-08T08:06:01.122+0000] {bronze.py:20} INFO - Página 169 retornou 0 registros.
[2025-04-08T08:06:01.127+0000] {bronze.py:38} INFO - Total de páginas com dados: 168
[2025-04-08T08:06:01.663+0000] {bronze.py:20} INFO - Página 1 retornou 50 registros.
[2025-04-08T08:06:01.849+0000] {bronze.py:20} INFO - Página 3 retornou 50 registros.
[2025-04-08T08:06:01.890+0000] {bronze.py:20} INFO - Página 5 retornou 50 registros.
[2025-04-08T08:06:01.975+0000] {bronze.py:20} INFO - Página 9 retornou 50 registros.
[2025-04-08T08:06:01.977+0000] {bronze.py:20} INFO - Página 4 retornou 50 registros.
[2025-04-08T08:06:02.043+0000] {bronze.py:20} INFO - Página 8 retornou 50 registros.
[2025-04-08T08:06:02.062+0000] {bronze.py:20} INFO - Página 2 retornou 50 registros.
[2025-04-08T08:06:02.140+0000] {bronze.py:20} INFO - Página 6 retornou 50 registros.
[2025-04-08T08:06:02.148+0000] {bronze.py:20} INFO - Página 7 retornou 50 registros.
[2025-04-08T08:06:02.160+0000] {bronze.py:20} INFO - Página 10 retornou 50 registros.
[2025-04-08T08:06:02.162+0000] {bronze.py:20} INFO - Página 11 retornou 50 registros.
[2025-04-08T08:06:02.321+0000] {bronze.py:20} INFO - Página 12 retornou 50 registros.
[2025-04-08T08:06:02.455+0000] {bronze.py:20} INFO - Página 15 retornou 50 registros.
[2025-04-08T08:06:02.469+0000] {bronze.py:20} INFO - Página 14 retornou 50 registros.
[2025-04-08T08:06:02.472+0000] {bronze.py:20} INFO - Página 13 retornou 50 registros.
[2025-04-08T08:06:02.489+0000] {bronze.py:20} INFO - Página 16 retornou 50 registros.
[2025-04-08T08:06:02.638+0000] {bronze.py:20} INFO - Página 17 retornou 50 registros.
[2025-04-08T08:06:02.771+0000] {bronze.py:20} INFO - Página 18 retornou 50 registros.
[2025-04-08T08:06:02.799+0000] {bronze.py:20} INFO - Página 19 retornou 50 registros.
[2025-04-08T08:06:02.818+0000] {bronze.py:20} INFO - Página 21 retornou 50 registros.
[2025-04-08T08:06:02.839+0000] {bronze.py:20} INFO - Página 20 retornou 50 registros.
[2025-04-08T08:06:02.983+0000] {bronze.py:20} INFO - Página 22 retornou 50 registros.
[2025-04-08T08:06:03.158+0000] {bronze.py:20} INFO - Página 23 retornou 50 registros.
[2025-04-08T08:06:03.172+0000] {bronze.py:20} INFO - Página 25 retornou 50 registros.
[2025-04-08T08:06:03.174+0000] {bronze.py:20} INFO - Página 26 retornou 50 registros.
[2025-04-08T08:06:03.247+0000] {bronze.py:20} INFO - Página 24 retornou 50 registros.
[2025-04-08T08:06:03.249+0000] {bronze.py:20} INFO - Página 27 retornou 50 registros.
[2025-04-08T08:06:03.441+0000] {bronze.py:20} INFO - Página 29 retornou 50 registros.
[2025-04-08T08:06:03.449+0000] {bronze.py:20} INFO - Página 28 retornou 50 registros.
[2025-04-08T08:06:03.451+0000] {bronze.py:20} INFO - Página 30 retornou 50 registros.
[2025-04-08T08:06:03.561+0000] {bronze.py:20} INFO - Página 31 retornou 50 registros.
[2025-04-08T08:06:03.640+0000] {bronze.py:20} INFO - Página 32 retornou 50 registros.
[2025-04-08T08:06:03.701+0000] {bronze.py:20} INFO - Página 33 retornou 50 registros.
[2025-04-08T08:06:03.752+0000] {bronze.py:20} INFO - Página 34 retornou 50 registros.
[2025-04-08T08:06:03.767+0000] {bronze.py:20} INFO - Página 35 retornou 50 registros.
[2025-04-08T08:06:03.778+0000] {bronze.py:20} INFO - Página 37 retornou 50 registros.
[2025-04-08T08:06:03.780+0000] {bronze.py:20} INFO - Página 36 retornou 50 registros.
[2025-04-08T08:06:03.947+0000] {bronze.py:20} INFO - Página 39 retornou 50 registros.
[2025-04-08T08:06:03.957+0000] {bronze.py:20} INFO - Página 38 retornou 50 registros.
[2025-04-08T08:06:03.960+0000] {bronze.py:20} INFO - Página 40 retornou 50 registros.
[2025-04-08T08:06:03.992+0000] {bronze.py:20} INFO - Página 41 retornou 50 registros.
[2025-04-08T08:06:04.087+0000] {bronze.py:20} INFO - Página 42 retornou 50 registros.
[2025-04-08T08:06:04.242+0000] {bronze.py:20} INFO - Página 43 retornou 50 registros.
[2025-04-08T08:06:04.354+0000] {bronze.py:20} INFO - Página 44 retornou 50 registros.
[2025-04-08T08:06:04.448+0000] {bronze.py:20} INFO - Página 46 retornou 50 registros.
[2025-04-08T08:06:04.476+0000] {bronze.py:20} INFO - Página 45 retornou 50 registros.
[2025-04-08T08:06:04.478+0000] {bronze.py:20} INFO - Página 47 retornou 50 registros.
[2025-04-08T08:06:04.956+0000] {bronze.py:20} INFO - Página 48 retornou 50 registros.
[2025-04-08T08:06:04.968+0000] {bronze.py:20} INFO - Página 51 retornou 50 registros.
[2025-04-08T08:06:04.970+0000] {bronze.py:20} INFO - Página 50 retornou 50 registros.
[2025-04-08T08:06:04.983+0000] {bronze.py:20} INFO - Página 49 retornou 50 registros.
[2025-04-08T08:06:05.002+0000] {bronze.py:20} INFO - Página 52 retornou 50 registros.
[2025-04-08T08:06:05.004+0000] {bronze.py:20} INFO - Página 53 retornou 50 registros.
