[2025-04-08T12:14:06.031+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-04-08T12:14:06.074+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T12:13:56.830236+00:00 [queued]>
[2025-04-08T12:14:06.088+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T12:13:56.830236+00:00 [queued]>
[2025-04-08T12:14:06.089+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 4
[2025-04-08T12:14:06.117+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): camada_bronze> on 2025-04-08 12:13:56.830236+00:00
[2025-04-08T12:14:06.130+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=1883) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-08T12:14:06.133+0000] {standard_task_runner.py:63} INFO - Started process 1885 to run task
[2025-04-08T12:14:06.133+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'pipeline_cervejarias_dag', 'camada_bronze', 'manual__2025-04-08T12:13:56.830236+00:00', '--job-id', '23', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_cervejarias_dag.py', '--cfg-path', '/tmp/tmp8wakifee']
[2025-04-08T12:14:06.136+0000] {standard_task_runner.py:91} INFO - Job 23: Subtask camada_bronze
[2025-04-08T12:14:06.213+0000] {task_command.py:426} INFO - Running <TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T12:13:56.830236+00:00 [running]> on host b92eb4eb8cda
[2025-04-08T12:14:06.370+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='pipeline_cervejarias_dag' AIRFLOW_CTX_TASK_ID='camada_bronze' AIRFLOW_CTX_EXECUTION_DATE='2025-04-08T12:13:56.830236+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-08T12:13:56.830236+00:00'
[2025-04-08T12:14:06.373+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-04-08T12:14:06.374+0000] {bronze.py:47} INFO - Iniciando extração paralela da API Open Brewery DB...
[2025-04-08T12:14:06.375+0000] {bronze.py:31} INFO - Descobrindo total de páginas disponíveis...
[2025-04-08T12:14:06.963+0000] {bronze.py:23} INFO - Página 1 retornou 50 registros.
[2025-04-08T12:14:07.420+0000] {bronze.py:23} INFO - Página 2 retornou 50 registros.
[2025-04-08T12:14:08.164+0000] {bronze.py:23} INFO - Página 3 retornou 50 registros.
[2025-04-08T12:14:08.628+0000] {bronze.py:23} INFO - Página 4 retornou 50 registros.
[2025-04-08T12:14:09.032+0000] {bronze.py:23} INFO - Página 5 retornou 50 registros.
[2025-04-08T12:14:09.803+0000] {bronze.py:23} INFO - Página 6 retornou 50 registros.
[2025-04-08T12:14:10.358+0000] {bronze.py:23} INFO - Página 7 retornou 50 registros.
[2025-04-08T12:14:11.163+0000] {bronze.py:23} INFO - Página 8 retornou 50 registros.
