[2025-04-08T10:18:53.637+0000] {bronze.py:20} INFO - Página 41 retornou 50 registros.
[2025-04-08T10:18:54.055+0000] {bronze.py:20} INFO - Página 42 retornou 50 registros.
[2025-04-08T10:18:54.448+0000] {bronze.py:20} INFO - Página 43 retornou 50 registros.
[2025-04-08T10:18:54.865+0000] {bronze.py:20} INFO - Página 44 retornou 50 registros.
[2025-04-08T10:18:55.320+0000] {bronze.py:20} INFO - Página 45 retornou 50 registros.
[2025-04-08T10:18:55.772+0000] {bronze.py:20} INFO - Página 46 retornou 50 registros.
[2025-04-08T10:18:56.302+0000] {bronze.py:20} INFO - Página 47 retornou 50 registros.
[2025-04-08T10:18:56.697+0000] {bronze.py:20} INFO - Página 48 retornou 50 registros.
[2025-04-08T10:18:57.121+0000] {bronze.py:20} INFO - Página 49 retornou 50 registros.
[2025-04-08T10:18:58.111+0000] {bronze.py:20} INFO - Página 50 retornou 50 registros.
[2025-04-08T10:18:58.811+0000] {bronze.py:20} INFO - Página 51 retornou 50 registros.
[2025-04-08T10:18:59.434+0000] {bronze.py:20} INFO - Página 52 retornou 50 registros.
[2025-04-08T10:19:00.488+0000] {bronze.py:20} INFO - Página 53 retornou 50 registros.
[2025-04-08T10:19:01.019+0000] {bronze.py:20} INFO - Página 54 retornou 50 registros.
[2025-04-08T10:19:01.686+0000] {bronze.py:20} INFO - Página 55 retornou 50 registros.
[2025-04-08T10:19:02.396+0000] {bronze.py:20} INFO - Página 56 retornou 50 registros.
[2025-04-08T10:19:03.705+0000] {bronze.py:20} INFO - Página 57 retornou 50 registros.
[2025-04-08T10:19:04.173+0000] {bronze.py:20} INFO - Página 58 retornou 50 registros.
[2025-04-08T10:19:04.798+0000] {bronze.py:20} INFO - Página 59 retornou 50 registros.
[2025-04-08T10:19:05.229+0000] {bronze.py:20} INFO - Página 60 retornou 50 registros.
[2025-04-08T10:19:05.751+0000] {bronze.py:20} INFO - Página 61 retornou 50 registros.
[2025-04-08T10:19:06.270+0000] {bronze.py:20} INFO - Página 62 retornou 50 registros.
[2025-04-08T10:19:06.680+0000] {bronze.py:20} INFO - Página 63 retornou 50 registros.
[2025-04-08T10:19:07.289+0000] {bronze.py:20} INFO - Página 64 retornou 50 registros.
[2025-04-08T10:19:07.830+0000] {bronze.py:20} INFO - Página 65 retornou 50 registros.
[2025-04-08T10:19:08.592+0000] {bronze.py:20} INFO - Página 66 retornou 50 registros.
[2025-04-08T10:19:09.029+0000] {bronze.py:20} INFO - Página 67 retornou 50 registros.
[2025-04-08T10:19:09.448+0000] {bronze.py:20} INFO - Página 68 retornou 50 registros.
[2025-04-08T10:19:09.894+0000] {bronze.py:20} INFO - Página 69 retornou 50 registros.
[2025-04-08T10:19:10.302+0000] {bronze.py:20} INFO - Página 70 retornou 50 registros.
[2025-04-08T10:19:10.727+0000] {bronze.py:20} INFO - Página 71 retornou 50 registros.
[2025-04-08T10:19:11.478+0000] {bronze.py:20} INFO - Página 72 retornou 50 registros.
[2025-04-08T10:19:12.412+0000] {bronze.py:20} INFO - Página 73 retornou 50 registros.
[2025-04-08T10:19:12.958+0000] {bronze.py:20} INFO - Página 74 retornou 50 registros.
[2025-04-08T10:19:13.358+0000] {bronze.py:20} INFO - Página 75 retornou 50 registros.
[2025-04-08T10:19:13.761+0000] {bronze.py:20} INFO - Página 76 retornou 50 registros.
[2025-04-08T10:19:14.167+0000] {bronze.py:20} INFO - Página 77 retornou 50 registros.
[2025-04-08T10:19:14.540+0000] {bronze.py:20} INFO - Página 78 retornou 50 registros.
[2025-04-08T10:19:14.956+0000] {bronze.py:20} INFO - Página 79 retornou 50 registros.
[2025-04-08T10:19:15.555+0000] {bronze.py:20} INFO - Página 80 retornou 50 registros.
[2025-04-08T10:19:16.079+0000] {bronze.py:20} INFO - Página 81 retornou 50 registros.
[2025-04-08T10:19:16.522+0000] {bronze.py:20} INFO - Página 82 retornou 50 registros.
[2025-04-08T10:19:16.955+0000] {bronze.py:20} INFO - Página 83 retornou 50 registros.
[2025-04-08T10:19:17.605+0000] {bronze.py:20} INFO - Página 84 retornou 50 registros.
[2025-04-08T10:19:18.205+0000] {bronze.py:20} INFO - Página 85 retornou 50 registros.
[2025-04-08T10:19:18.680+0000] {bronze.py:20} INFO - Página 86 retornou 50 registros.
[2025-04-08T10:19:19.076+0000] {bronze.py:20} INFO - Página 87 retornou 50 registros.
[2025-04-08T10:19:19.501+0000] {bronze.py:20} INFO - Página 88 retornou 50 registros.
[2025-04-08T10:19:19.901+0000] {bronze.py:20} INFO - Página 89 retornou 50 registros.
[2025-04-08T10:19:20.365+0000] {bronze.py:20} INFO - Página 90 retornou 50 registros.
[2025-04-08T10:19:20.819+0000] {bronze.py:20} INFO - Página 91 retornou 50 registros.
[2025-04-08T10:19:21.266+0000] {bronze.py:20} INFO - Página 92 retornou 50 registros.
[2025-04-08T10:19:21.693+0000] {bronze.py:20} INFO - Página 93 retornou 50 registros.
[2025-04-08T10:19:22.108+0000] {bronze.py:20} INFO - Página 94 retornou 50 registros.
[2025-04-08T10:19:22.519+0000] {bronze.py:20} INFO - Página 95 retornou 50 registros.
[2025-04-08T10:19:22.971+0000] {bronze.py:20} INFO - Página 96 retornou 50 registros.
[2025-04-08T10:19:23.477+0000] {bronze.py:20} INFO - Página 97 retornou 50 registros.
[2025-04-08T10:19:23.889+0000] {bronze.py:20} INFO - Página 98 retornou 50 registros.
[2025-04-08T10:19:24.443+0000] {bronze.py:20} INFO - Página 99 retornou 50 registros.
[2025-04-08T10:19:24.866+0000] {bronze.py:20} INFO - Página 100 retornou 50 registros.
[2025-04-08T10:19:25.338+0000] {bronze.py:20} INFO - Página 101 retornou 50 registros.
[2025-04-08T10:19:25.861+0000] {bronze.py:20} INFO - Página 102 retornou 50 registros.
[2025-04-08T10:19:26.594+0000] {bronze.py:20} INFO - Página 103 retornou 50 registros.
[2025-04-08T10:19:27.168+0000] {bronze.py:20} INFO - Página 104 retornou 50 registros.
[2025-04-08T10:19:28.090+0000] {bronze.py:20} INFO - Página 105 retornou 50 registros.
[2025-04-08T10:19:29.015+0000] {bronze.py:20} INFO - Página 106 retornou 50 registros.
[2025-04-08T10:19:29.424+0000] {bronze.py:20} INFO - Página 107 retornou 50 registros.
[2025-04-08T10:19:29.935+0000] {bronze.py:20} INFO - Página 108 retornou 50 registros.
[2025-04-08T10:19:30.500+0000] {bronze.py:20} INFO - Página 109 retornou 50 registros.
[2025-04-08T10:19:30.944+0000] {bronze.py:20} INFO - Página 110 retornou 50 registros.
[2025-04-08T10:19:31.454+0000] {bronze.py:20} INFO - Página 111 retornou 50 registros.
[2025-04-08T10:19:31.863+0000] {bronze.py:20} INFO - Página 112 retornou 50 registros.
[2025-04-08T10:19:32.655+0000] {bronze.py:20} INFO - Página 113 retornou 50 registros.
[2025-04-08T10:19:33.098+0000] {bronze.py:20} INFO - Página 114 retornou 50 registros.
[2025-04-08T10:19:33.632+0000] {bronze.py:20} INFO - Página 115 retornou 50 registros.
[2025-04-08T10:19:35.081+0000] {bronze.py:20} INFO - Página 116 retornou 50 registros.
[2025-04-08T10:19:35.500+0000] {bronze.py:20} INFO - Página 117 retornou 50 registros.
[2025-04-08T10:19:35.901+0000] {bronze.py:20} INFO - Página 118 retornou 50 registros.
[2025-04-08T10:19:36.321+0000] {bronze.py:20} INFO - Página 119 retornou 50 registros.
[2025-04-08T10:19:36.978+0000] {bronze.py:20} INFO - Página 120 retornou 50 registros.
[2025-04-08T10:19:37.684+0000] {bronze.py:20} INFO - Página 121 retornou 50 registros.
[2025-04-08T10:19:38.300+0000] {bronze.py:20} INFO - Página 122 retornou 50 registros.
[2025-04-08T10:19:38.837+0000] {bronze.py:20} INFO - Página 123 retornou 50 registros.
[2025-04-08T10:19:39.555+0000] {bronze.py:20} INFO - Página 124 retornou 50 registros.
[2025-04-08T10:19:39.997+0000] {bronze.py:20} INFO - Página 125 retornou 50 registros.
[2025-04-08T10:19:40.443+0000] {bronze.py:20} INFO - Página 126 retornou 50 registros.
[2025-04-08T10:19:40.877+0000] {bronze.py:20} INFO - Página 127 retornou 50 registros.
[2025-04-08T10:19:41.419+0000] {bronze.py:20} INFO - Página 128 retornou 50 registros.
[2025-04-08T10:19:41.912+0000] {bronze.py:20} INFO - Página 129 retornou 50 registros.
[2025-04-08T10:19:42.361+0000] {bronze.py:20} INFO - Página 130 retornou 50 registros.
[2025-04-08T10:19:42.835+0000] {bronze.py:20} INFO - Página 131 retornou 50 registros.
[2025-04-08T10:19:43.250+0000] {bronze.py:20} INFO - Página 132 retornou 50 registros.
[2025-04-08T10:19:43.729+0000] {bronze.py:20} INFO - Página 133 retornou 50 registros.
[2025-04-08T10:19:44.146+0000] {bronze.py:20} INFO - Página 134 retornou 50 registros.
[2025-04-08T10:19:44.596+0000] {bronze.py:20} INFO - Página 135 retornou 50 registros.
[2025-04-08T10:19:45.112+0000] {bronze.py:20} INFO - Página 136 retornou 50 registros.
