country,state_province,brewery_type,quantidade
Ireland,Mayo,micro,2
Ireland,Limerick,micro,2
Ireland,Laois,micro,2
Ireland,Kilkenny,regional,2
South Korea,Incheon,brewpub,2
Ireland,Kerry,micro,2
United States,Vermont,planning,2
Ireland,Dublin,regional,2
Austria,Steiermark,bar,2
United States,Wisconsin,proprietor,2
Ireland,Cork,large,2
Austria,K�rnten,large,2
Austria,Nieder�sterreich,large,2
United States,North Dakota,nano,2
United States,Alaska,planning,2
Ireland,Galway,regional,2
United States,Arizona,large,2
United States,South Carolina,regional,2
United States,Mississippi,brewpub,2
United States,Minnesota,proprietor,2
United States,Massachusetts,proprietor,2
United States,Maryland,proprietor,2
United States,South Dakota,closed,2
United States,Maine,contract,2
United States,South Dakota,planning,2
United States,Ohio,large,2
South Korea,Gyeongsangbukdo,brewpub,2
United States,Tennessee,proprietor,2
United States,Washington,proprietor,2
South Korea,Chungcheongnamdo,micro,2
United States,Tennessee,regional,2
United States,Ohio,proprietor,1
United States,Oklahoma,closed,1
Ireland,Monaghan,micro,1
United States,Pennsylvania,taproom,1
United States,Ohio,closed,1
Ireland,Westmeath,brewpub,1
Ireland,Roscommon,micro,1
United States,Wyoming,regional,1
Austria,K�rnten,nano,1
Austria,Oberösterreich,large,1
Austria,Oberösterreich,nano,1
Austria,Steiermark,brewpub,1
England,East Sussex,large,1
United States,Texas,proprietor,1
United States,Tennessee,nano,1
United States,Tennessee,contract,1
United States,South Dakota,proprietor,1
United States,South Dakota,contract,1
United States,South Carolina,contract,1
United States,South Carolina,closed,1
Scotland,East Dunbartonshire,micro,1
United States,Rhode Island,proprietor,1
United States,Alaska,contract,1
Scotland,Bute,closed,1
Portugal,Porto,micro,1
Portugal,Porto,brewpub,1
Portugal,Portalegre,micro,1
Portugal,Leiria,brewpub,1
Portugal,Faro,micro,1
Portugal,Coimbra,brewpub,1
Portugal,Beja,brewpub,1
Portugal,Aveiro,micro,1
Portugal,Aveiro,brewpub,1
Ireland,Wicklow,regional,1
United States,Rhode Island,regional,1
United States,Idaho,large,1
United States,New Hampshire,large,1
United States,New Hampshire,contract,1
United States,New Hampshire,closed,1
United States,Nevada,bar,1
United States,Missouri,large,1
United States,Missouri,contract,1
United States,Mississippi,planning,1
United States,Mississippi,contract,1
United States,Maryland,large,1
United States,Maine,proprietor,1
United States,MIssouri,micro,1
United States,Louisiana,regional,1
United States,West Virginia,proprietor,1
United States,Alaska,regional,1
United States,West Virginia,nano,1
United States,Washington,location,1
Ireland,Meath,micro,1
Ireland,Louth,micro,1
Ireland,Longford,micro,1
Ireland,Kilkenny,micro,1
Ireland,Kerry,brewpub,1
Ireland,Dublin,large,1
Ireland,Donegal,regional,1
Ireland,Cork,regional,1
Ireland,Galway,micro,1
United States,Wisconsin,nano,1
Ireland,Clare,brewpub,1
Ireland,Carlow,micro,1
United States,West Virginia,planning,1
United States,Alabama,contract,1
South Korea,Jeollanamdo,brewpub,1
South Korea,Gyeongsangbukdo,micro,1
South Korea,Gyeonggido,micro,1
South Korea,Gwangju,brewpub,1
South Korea,Deagu,brewpub,1
South Korea,Daejeon,brewpub,1
South Korea,Chungcheongnamdo,brewpub,1
South Korea,Chungcheongbukdo,brewpub,1
South Korea,Busan,micro,1
Singapore,Singapore,large,1
United States,North Dakota,bar,1
United States,New Mexico,proprietor,1
United States,New Mexico,contract,1
United States,Idaho,proprietor,1
United States,New Jersey,large,1
United States,Arkansas,contract,1
United States,Arizona,regional,1
United States,Idaho,contract,1
United States,Hawaii,regional,1
United States,Georgia,proprietor,1
United States,District of Columbia,regional,1
United States,Delaware,regional,1
United States,Delaware,large,1
United States,Kentucky,regional,1
United States,Kentucky,contract,1
United States,Kansas,regional,1
United States,Kansas,proprietor,1
United States,Iowa,contract,1
United States,Indiana,proprietor,1
United States,New Jersey,regional,1
