[2025-04-08T12:09:41.955+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-04-08T12:09:42.011+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T12:09:21.214286+00:00 [queued]>
[2025-04-08T12:09:42.027+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T12:09:21.214286+00:00 [queued]>
[2025-04-08T12:09:42.028+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 4
[2025-04-08T12:09:42.051+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): camada_bronze> on 2025-04-08 12:09:21.214286+00:00
[2025-04-08T12:09:42.066+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=1782) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-08T12:09:42.071+0000] {standard_task_runner.py:63} INFO - Started process 1784 to run task
[2025-04-08T12:09:42.070+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'pipeline_cervejarias_dag', 'camada_bronze', 'manual__2025-04-08T12:09:21.214286+00:00', '--job-id', '20', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_cervejarias_dag.py', '--cfg-path', '/tmp/tmpcz10_5cz']
[2025-04-08T12:09:42.074+0000] {standard_task_runner.py:91} INFO - Job 20: Subtask camada_bronze
[2025-04-08T12:09:42.189+0000] {task_command.py:426} INFO - Running <TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T12:09:21.214286+00:00 [running]> on host b92eb4eb8cda
[2025-04-08T12:09:42.479+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='pipeline_cervejarias_dag' AIRFLOW_CTX_TASK_ID='camada_bronze' AIRFLOW_CTX_EXECUTION_DATE='2025-04-08T12:09:21.214286+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-08T12:09:21.214286+00:00'
[2025-04-08T12:09:42.482+0000] {taskinstance.py:430} INFO - ::endgroup::
