[2025-04-08T10:37:35.268+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-04-08T10:37:35.336+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T10:37:23.411881+00:00 [queued]>
[2025-04-08T10:37:35.362+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T10:37:23.411881+00:00 [queued]>
[2025-04-08T10:37:35.364+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 4
[2025-04-08T10:37:35.410+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): camada_bronze> on 2025-04-08 10:37:23.411881+00:00
[2025-04-08T10:37:35.432+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=612) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-08T10:37:35.436+0000] {standard_task_runner.py:63} INFO - Started process 614 to run task
[2025-04-08T10:37:35.439+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'pipeline_cervejarias_dag', 'camada_bronze', 'manual__2025-04-08T10:37:23.411881+00:00', '--job-id', '14', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_cervejarias_dag.py', '--cfg-path', '/tmp/tmp1i3k8jlm']
[2025-04-08T10:37:35.443+0000] {standard_task_runner.py:91} INFO - Job 14: Subtask camada_bronze
[2025-04-08T10:37:35.602+0000] {task_command.py:426} INFO - Running <TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T10:37:23.411881+00:00 [running]> on host b92eb4eb8cda
[2025-04-08T10:37:35.854+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='pipeline_cervejarias_dag' AIRFLOW_CTX_TASK_ID='camada_bronze' AIRFLOW_CTX_EXECUTION_DATE='2025-04-08T10:37:23.411881+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-08T10:37:23.411881+00:00'
[2025-04-08T10:37:35.856+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-04-08T10:37:35.859+0000] {bronze.py:42} INFO - Iniciando extração paralela da API Open Brewery DB...
[2025-04-08T10:37:35.861+0000] {bronze.py:27} INFO - Descobrindo total de páginas disponíveis...
[2025-04-08T10:37:36.876+0000] {bronze.py:20} INFO - Página 1 retornou 50 registros.
[2025-04-08T10:37:38.189+0000] {bronze.py:20} INFO - Página 2 retornou 50 registros.
[2025-04-08T10:37:39.440+0000] {bronze.py:20} INFO - Página 3 retornou 50 registros.
[2025-04-08T10:37:40.347+0000] {bronze.py:20} INFO - Página 4 retornou 50 registros.
[2025-04-08T10:37:41.845+0000] {bronze.py:20} INFO - Página 5 retornou 50 registros.
[2025-04-08T10:37:42.820+0000] {bronze.py:20} INFO - Página 6 retornou 50 registros.
[2025-04-08T10:37:43.291+0000] {bronze.py:20} INFO - Página 7 retornou 50 registros.
[2025-04-08T10:37:44.106+0000] {bronze.py:20} INFO - Página 8 retornou 50 registros.
[2025-04-08T10:37:45.010+0000] {bronze.py:20} INFO - Página 9 retornou 50 registros.
[2025-04-08T10:37:46.022+0000] {bronze.py:20} INFO - Página 10 retornou 50 registros.
[2025-04-08T10:37:46.827+0000] {bronze.py:20} INFO - Página 11 retornou 50 registros.
[2025-04-08T10:37:47.649+0000] {bronze.py:20} INFO - Página 12 retornou 50 registros.
[2025-04-08T10:37:48.767+0000] {bronze.py:20} INFO - Página 13 retornou 50 registros.
[2025-04-08T10:37:49.560+0000] {bronze.py:20} INFO - Página 14 retornou 50 registros.
[2025-04-08T10:37:50.449+0000] {bronze.py:20} INFO - Página 15 retornou 50 registros.
[2025-04-08T10:37:51.916+0000] {bronze.py:20} INFO - Página 16 retornou 50 registros.
[2025-04-08T10:37:52.783+0000] {bronze.py:20} INFO - Página 17 retornou 50 registros.
[2025-04-08T10:37:53.570+0000] {bronze.py:20} INFO - Página 18 retornou 50 registros.
[2025-04-08T10:37:54.470+0000] {bronze.py:20} INFO - Página 19 retornou 50 registros.
[2025-04-08T10:37:55.130+0000] {bronze.py:20} INFO - Página 20 retornou 50 registros.
[2025-04-08T10:37:55.916+0000] {bronze.py:20} INFO - Página 21 retornou 50 registros.
[2025-04-08T10:37:56.888+0000] {bronze.py:20} INFO - Página 22 retornou 50 registros.
[2025-04-08T10:37:58.573+0000] {bronze.py:20} INFO - Página 23 retornou 50 registros.
[2025-04-08T10:38:00.123+0000] {bronze.py:20} INFO - Página 24 retornou 50 registros.
[2025-04-08T10:38:00.974+0000] {bronze.py:20} INFO - Página 25 retornou 50 registros.
[2025-04-08T10:38:02.427+0000] {bronze.py:20} INFO - Página 26 retornou 50 registros.
[2025-04-08T10:38:03.441+0000] {bronze.py:20} INFO - Página 27 retornou 50 registros.
[2025-04-08T10:38:04.273+0000] {bronze.py:20} INFO - Página 28 retornou 50 registros.
[2025-04-08T10:38:05.242+0000] {bronze.py:20} INFO - Página 29 retornou 50 registros.
[2025-04-08T10:38:07.254+0000] {bronze.py:20} INFO - Página 30 retornou 50 registros.
[2025-04-08T10:38:08.295+0000] {bronze.py:20} INFO - Página 31 retornou 50 registros.
[2025-04-08T10:38:10.121+0000] {bronze.py:20} INFO - Página 32 retornou 50 registros.
[2025-04-08T10:38:11.025+0000] {bronze.py:20} INFO - Página 33 retornou 50 registros.
[2025-04-08T10:38:11.932+0000] {bronze.py:20} INFO - Página 34 retornou 50 registros.
[2025-04-08T10:38:13.095+0000] {bronze.py:20} INFO - Página 35 retornou 50 registros.
[2025-04-08T10:38:14.049+0000] {bronze.py:20} INFO - Página 36 retornou 50 registros.
[2025-04-08T10:38:15.175+0000] {bronze.py:20} INFO - Página 37 retornou 50 registros.
[2025-04-08T10:38:16.044+0000] {bronze.py:20} INFO - Página 38 retornou 50 registros.
[2025-04-08T10:38:17.400+0000] {bronze.py:20} INFO - Página 39 retornou 50 registros.
[2025-04-08T10:38:18.342+0000] {bronze.py:20} INFO - Página 40 retornou 50 registros.
[2025-04-08T10:38:20.229+0000] {bronze.py:20} INFO - Página 41 retornou 50 registros.
[2025-04-08T10:38:21.563+0000] {bronze.py:20} INFO - Página 42 retornou 50 registros.
[2025-04-08T10:38:22.593+0000] {bronze.py:20} INFO - Página 43 retornou 50 registros.
[2025-04-08T10:38:23.866+0000] {bronze.py:20} INFO - Página 44 retornou 50 registros.
[2025-04-08T10:38:24.707+0000] {bronze.py:20} INFO - Página 45 retornou 50 registros.
[2025-04-08T10:38:25.563+0000] {bronze.py:20} INFO - Página 46 retornou 50 registros.
[2025-04-08T10:38:26.628+0000] {bronze.py:20} INFO - Página 47 retornou 50 registros.
[2025-04-08T10:38:27.466+0000] {bronze.py:20} INFO - Página 48 retornou 50 registros.
[2025-04-08T10:38:28.237+0000] {bronze.py:20} INFO - Página 49 retornou 50 registros.
[2025-04-08T10:38:29.045+0000] {bronze.py:20} INFO - Página 50 retornou 50 registros.
[2025-04-08T10:38:30.065+0000] {bronze.py:20} INFO - Página 51 retornou 50 registros.
[2025-04-08T10:38:31.550+0000] {bronze.py:20} INFO - Página 52 retornou 50 registros.
[2025-04-08T10:38:32.753+0000] {bronze.py:20} INFO - Página 53 retornou 50 registros.
[2025-04-08T10:38:33.821+0000] {bronze.py:20} INFO - Página 54 retornou 50 registros.
[2025-04-08T10:38:35.039+0000] {bronze.py:20} INFO - Página 55 retornou 50 registros.
[2025-04-08T10:38:35.911+0000] {bronze.py:20} INFO - Página 56 retornou 50 registros.
[2025-04-08T10:38:36.781+0000] {bronze.py:20} INFO - Página 57 retornou 50 registros.
[2025-04-08T10:38:37.274+0000] {bronze.py:20} INFO - Página 58 retornou 50 registros.
[2025-04-08T10:38:38.278+0000] {bronze.py:20} INFO - Página 59 retornou 50 registros.
[2025-04-08T10:38:40.097+0000] {bronze.py:20} INFO - Página 60 retornou 50 registros.
[2025-04-08T10:38:40.927+0000] {bronze.py:20} INFO - Página 61 retornou 50 registros.
[2025-04-08T10:38:41.920+0000] {bronze.py:20} INFO - Página 62 retornou 50 registros.
[2025-04-08T10:38:43.240+0000] {bronze.py:20} INFO - Página 63 retornou 50 registros.
[2025-04-08T10:38:44.345+0000] {bronze.py:20} INFO - Página 64 retornou 50 registros.
[2025-04-08T10:38:45.307+0000] {bronze.py:20} INFO - Página 65 retornou 50 registros.
[2025-04-08T10:38:46.115+0000] {bronze.py:20} INFO - Página 66 retornou 50 registros.
[2025-04-08T10:38:46.958+0000] {bronze.py:20} INFO - Página 67 retornou 50 registros.
[2025-04-08T10:38:49.208+0000] {bronze.py:20} INFO - Página 68 retornou 50 registros.
[2025-04-08T10:38:50.276+0000] {bronze.py:20} INFO - Página 69 retornou 50 registros.
[2025-04-08T10:38:51.605+0000] {bronze.py:20} INFO - Página 70 retornou 50 registros.
[2025-04-08T10:38:53.073+0000] {bronze.py:20} INFO - Página 71 retornou 50 registros.
[2025-04-08T10:38:54.510+0000] {bronze.py:20} INFO - Página 72 retornou 50 registros.
[2025-04-08T10:38:57.069+0000] {bronze.py:20} INFO - Página 73 retornou 50 registros.
[2025-04-08T10:38:57.915+0000] {bronze.py:20} INFO - Página 74 retornou 50 registros.
[2025-04-08T10:38:58.814+0000] {bronze.py:20} INFO - Página 75 retornou 50 registros.
[2025-04-08T10:39:00.548+0000] {bronze.py:20} INFO - Página 76 retornou 50 registros.
[2025-04-08T10:39:00.964+0000] {bronze.py:20} INFO - Página 77 retornou 50 registros.
[2025-04-08T10:39:01.980+0000] {bronze.py:20} INFO - Página 78 retornou 50 registros.
[2025-04-08T10:39:03.303+0000] {bronze.py:20} INFO - Página 79 retornou 50 registros.
[2025-04-08T10:39:03.914+0000] {bronze.py:20} INFO - Página 80 retornou 50 registros.
[2025-04-08T10:39:07.888+0000] {bronze.py:20} INFO - Página 81 retornou 50 registros.
[2025-04-08T10:39:13.458+0000] {bronze.py:20} INFO - Página 82 retornou 50 registros.
[2025-04-08T10:39:14.309+0000] {bronze.py:20} INFO - Página 83 retornou 50 registros.
[2025-04-08T10:39:16.090+0000] {bronze.py:20} INFO - Página 84 retornou 50 registros.
[2025-04-08T10:39:16.913+0000] {bronze.py:20} INFO - Página 85 retornou 50 registros.
[2025-04-08T10:39:18.036+0000] {bronze.py:20} INFO - Página 86 retornou 50 registros.
[2025-04-08T10:39:18.974+0000] {bronze.py:20} INFO - Página 87 retornou 50 registros.
[2025-04-08T10:39:19.785+0000] {bronze.py:20} INFO - Página 88 retornou 50 registros.
[2025-04-08T10:39:20.218+0000] {bronze.py:20} INFO - Página 89 retornou 50 registros.
[2025-04-08T10:39:21.114+0000] {bronze.py:20} INFO - Página 90 retornou 50 registros.
[2025-04-08T10:39:21.731+0000] {bronze.py:20} INFO - Página 91 retornou 50 registros.
[2025-04-08T10:39:22.285+0000] {bronze.py:20} INFO - Página 92 retornou 50 registros.
[2025-04-08T10:39:23.422+0000] {bronze.py:20} INFO - Página 93 retornou 50 registros.
[2025-04-08T10:39:24.251+0000] {bronze.py:20} INFO - Página 94 retornou 50 registros.
[2025-04-08T10:39:25.688+0000] {bronze.py:20} INFO - Página 95 retornou 50 registros.
[2025-04-08T10:39:26.500+0000] {bronze.py:20} INFO - Página 96 retornou 50 registros.
[2025-04-08T10:39:27.229+0000] {bronze.py:20} INFO - Página 97 retornou 50 registros.
[2025-04-08T10:39:28.117+0000] {bronze.py:20} INFO - Página 98 retornou 50 registros.
[2025-04-08T10:39:33.152+0000] {bronze.py:20} INFO - Página 99 retornou 50 registros.
[2025-04-08T10:39:35.176+0000] {bronze.py:20} INFO - Página 100 retornou 50 registros.
[2025-04-08T10:39:37.034+0000] {bronze.py:20} INFO - Página 101 retornou 50 registros.
[2025-04-08T10:39:38.650+0000] {bronze.py:20} INFO - Página 102 retornou 50 registros.
[2025-04-08T10:39:40.939+0000] {bronze.py:20} INFO - Página 103 retornou 50 registros.
[2025-04-08T10:39:43.558+0000] {bronze.py:20} INFO - Página 104 retornou 50 registros.
[2025-04-08T10:39:45.602+0000] {bronze.py:20} INFO - Página 105 retornou 50 registros.
[2025-04-08T10:39:47.065+0000] {bronze.py:20} INFO - Página 106 retornou 50 registros.
[2025-04-08T10:39:48.463+0000] {bronze.py:20} INFO - Página 107 retornou 50 registros.
[2025-04-08T10:39:50.079+0000] {bronze.py:20} INFO - Página 108 retornou 50 registros.
[2025-04-08T10:39:51.349+0000] {bronze.py:20} INFO - Página 109 retornou 50 registros.
[2025-04-08T10:39:54.555+0000] {bronze.py:20} INFO - Página 110 retornou 50 registros.
[2025-04-08T10:39:56.938+0000] {bronze.py:20} INFO - Página 111 retornou 50 registros.
[2025-04-08T10:39:59.670+0000] {bronze.py:20} INFO - Página 112 retornou 50 registros.
[2025-04-08T10:40:00.902+0000] {bronze.py:20} INFO - Página 113 retornou 50 registros.
[2025-04-08T10:40:02.040+0000] {bronze.py:20} INFO - Página 114 retornou 50 registros.
[2025-04-08T10:40:03.393+0000] {bronze.py:20} INFO - Página 115 retornou 50 registros.
[2025-04-08T10:40:04.269+0000] {bronze.py:20} INFO - Página 116 retornou 50 registros.
[2025-04-08T10:40:04.808+0000] {bronze.py:20} INFO - Página 117 retornou 50 registros.
[2025-04-08T10:40:05.907+0000] {bronze.py:20} INFO - Página 118 retornou 50 registros.
[2025-04-08T10:40:06.811+0000] {bronze.py:20} INFO - Página 119 retornou 50 registros.
[2025-04-08T10:40:07.598+0000] {bronze.py:20} INFO - Página 120 retornou 50 registros.
[2025-04-08T10:40:08.189+0000] {bronze.py:20} INFO - Página 121 retornou 50 registros.
