[2025-04-08T10:11:43.803+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-04-08T10:11:45.176+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T10:11:06.813723+00:00 [queued]>
[2025-04-08T10:11:45.196+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T10:11:06.813723+00:00 [queued]>
[2025-04-08T10:11:45.214+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 4
[2025-04-08T10:11:45.245+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): camada_bronze> on 2025-04-08 10:11:06.813723+00:00
[2025-04-08T10:11:45.262+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=210) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-08T10:11:45.267+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'pipeline_cervejarias_dag', 'camada_bronze', 'manual__2025-04-08T10:11:06.813723+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_cervejarias_dag.py', '--cfg-path', '/tmp/tmpac6lad03']
[2025-04-08T10:11:45.268+0000] {standard_task_runner.py:63} INFO - Started process 219 to run task
[2025-04-08T10:11:45.270+0000] {standard_task_runner.py:91} INFO - Job 8: Subtask camada_bronze
[2025-04-08T10:11:45.472+0000] {task_command.py:426} INFO - Running <TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T10:11:06.813723+00:00 [running]> on host b92eb4eb8cda
[2025-04-08T10:11:46.022+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='pipeline_cervejarias_dag' AIRFLOW_CTX_TASK_ID='camada_bronze' AIRFLOW_CTX_EXECUTION_DATE='2025-04-08T10:11:06.813723+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-08T10:11:06.813723+00:00'
[2025-04-08T10:11:46.024+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-04-08T10:11:46.026+0000] {bronze.py:42} INFO - Iniciando extração paralela da API Open Brewery DB...
[2025-04-08T10:11:46.026+0000] {bronze.py:27} INFO - Descobrindo total de páginas disponíveis...
[2025-04-08T10:11:47.801+0000] {bronze.py:20} INFO - Página 1 retornou 50 registros.
[2025-04-08T10:11:48.709+0000] {bronze.py:20} INFO - Página 2 retornou 50 registros.
[2025-04-08T10:11:49.630+0000] {bronze.py:20} INFO - Página 3 retornou 50 registros.
[2025-04-08T10:11:50.608+0000] {bronze.py:20} INFO - Página 4 retornou 50 registros.
[2025-04-08T10:11:51.530+0000] {bronze.py:20} INFO - Página 5 retornou 50 registros.
[2025-04-08T10:11:53.526+0000] {bronze.py:20} INFO - Página 6 retornou 50 registros.
[2025-04-08T10:11:54.403+0000] {bronze.py:20} INFO - Página 7 retornou 50 registros.
[2025-04-08T10:11:55.557+0000] {bronze.py:20} INFO - Página 8 retornou 50 registros.
[2025-04-08T10:11:56.917+0000] {bronze.py:20} INFO - Página 9 retornou 50 registros.
[2025-04-08T10:11:57.967+0000] {bronze.py:20} INFO - Página 10 retornou 50 registros.
[2025-04-08T10:11:58.991+0000] {bronze.py:20} INFO - Página 11 retornou 50 registros.
[2025-04-08T10:11:59.860+0000] {bronze.py:20} INFO - Página 12 retornou 50 registros.
[2025-04-08T10:12:01.187+0000] {bronze.py:20} INFO - Página 13 retornou 50 registros.
[2025-04-08T10:12:02.198+0000] {bronze.py:20} INFO - Página 14 retornou 50 registros.
[2025-04-08T10:12:03.088+0000] {bronze.py:20} INFO - Página 15 retornou 50 registros.
[2025-04-08T10:12:03.989+0000] {bronze.py:20} INFO - Página 16 retornou 50 registros.
[2025-04-08T10:12:05.104+0000] {bronze.py:20} INFO - Página 17 retornou 50 registros.
[2025-04-08T10:12:06.686+0000] {bronze.py:20} INFO - Página 18 retornou 50 registros.
[2025-04-08T10:12:08.212+0000] {bronze.py:20} INFO - Página 19 retornou 50 registros.
[2025-04-08T10:12:08.997+0000] {bronze.py:20} INFO - Página 20 retornou 50 registros.
[2025-04-08T10:12:10.176+0000] {bronze.py:20} INFO - Página 21 retornou 50 registros.
[2025-04-08T10:12:11.340+0000] {bronze.py:20} INFO - Página 22 retornou 50 registros.
[2025-04-08T10:12:12.155+0000] {bronze.py:20} INFO - Página 23 retornou 50 registros.
[2025-04-08T10:12:12.977+0000] {bronze.py:20} INFO - Página 24 retornou 50 registros.
[2025-04-08T10:12:13.796+0000] {bronze.py:20} INFO - Página 25 retornou 50 registros.
[2025-04-08T10:12:14.609+0000] {bronze.py:20} INFO - Página 26 retornou 50 registros.
[2025-04-08T10:12:15.436+0000] {bronze.py:20} INFO - Página 27 retornou 50 registros.
[2025-04-08T10:12:16.253+0000] {bronze.py:20} INFO - Página 28 retornou 50 registros.
[2025-04-08T10:12:17.337+0000] {bronze.py:20} INFO - Página 29 retornou 50 registros.
[2025-04-08T10:12:18.093+0000] {bronze.py:20} INFO - Página 30 retornou 50 registros.
[2025-04-08T10:12:18.883+0000] {bronze.py:20} INFO - Página 31 retornou 50 registros.
[2025-04-08T10:12:20.153+0000] {bronze.py:20} INFO - Página 32 retornou 50 registros.
[2025-04-08T10:12:20.950+0000] {bronze.py:20} INFO - Página 33 retornou 50 registros.
[2025-04-08T10:12:21.823+0000] {bronze.py:20} INFO - Página 34 retornou 50 registros.
[2025-04-08T10:12:22.613+0000] {bronze.py:20} INFO - Página 35 retornou 50 registros.
[2025-04-08T10:12:23.458+0000] {bronze.py:20} INFO - Página 36 retornou 50 registros.
[2025-04-08T10:12:24.546+0000] {bronze.py:20} INFO - Página 37 retornou 50 registros.
[2025-04-08T10:12:26.084+0000] {bronze.py:20} INFO - Página 38 retornou 50 registros.
[2025-04-08T10:12:27.968+0000] {bronze.py:20} INFO - Página 39 retornou 50 registros.
[2025-04-08T10:12:28.818+0000] {bronze.py:20} INFO - Página 40 retornou 50 registros.
[2025-04-08T10:12:29.774+0000] {bronze.py:20} INFO - Página 41 retornou 50 registros.
[2025-04-08T10:12:30.813+0000] {bronze.py:20} INFO - Página 42 retornou 50 registros.
[2025-04-08T10:12:31.617+0000] {bronze.py:20} INFO - Página 43 retornou 50 registros.
[2025-04-08T10:12:33.684+0000] {bronze.py:20} INFO - Página 44 retornou 50 registros.
