[2025-04-08T10:46:32.238+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-04-08T10:46:32.295+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T10:46:24.731612+00:00 [queued]>
[2025-04-08T10:46:32.312+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T10:46:24.731612+00:00 [queued]>
[2025-04-08T10:46:32.314+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 4
[2025-04-08T10:46:32.343+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): camada_bronze> on 2025-04-08 10:46:24.731612+00:00
[2025-04-08T10:46:32.367+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=765) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-08T10:46:32.367+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'pipeline_cervejarias_dag', 'camada_bronze', 'manual__2025-04-08T10:46:24.731612+00:00', '--job-id', '17', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_cervejarias_dag.py', '--cfg-path', '/tmp/tmpcjgvmgt0']
[2025-04-08T10:46:32.376+0000] {standard_task_runner.py:63} INFO - Started process 767 to run task
[2025-04-08T10:46:32.377+0000] {standard_task_runner.py:91} INFO - Job 17: Subtask camada_bronze
[2025-04-08T10:46:32.526+0000] {task_command.py:426} INFO - Running <TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T10:46:24.731612+00:00 [running]> on host b92eb4eb8cda
[2025-04-08T10:46:32.787+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='pipeline_cervejarias_dag' AIRFLOW_CTX_TASK_ID='camada_bronze' AIRFLOW_CTX_EXECUTION_DATE='2025-04-08T10:46:24.731612+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-08T10:46:24.731612+00:00'
[2025-04-08T10:46:32.790+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-04-08T10:46:32.791+0000] {bronze.py:56} INFO - Iniciando extração paralela da API Open Brewery DB...
[2025-04-08T10:46:32.792+0000] {bronze.py:38} INFO - Descobrindo total de páginas disponíveis...
[2025-04-08T10:46:33.476+0000] {bronze.py:28} INFO - Página 1 retornou 50 registros.
[2025-04-08T10:46:33.885+0000] {bronze.py:28} INFO - Página 2 retornou 50 registros.
[2025-04-08T10:46:34.385+0000] {bronze.py:28} INFO - Página 3 retornou 50 registros.
[2025-04-08T10:46:34.970+0000] {bronze.py:28} INFO - Página 4 retornou 50 registros.
[2025-04-08T10:46:35.448+0000] {bronze.py:28} INFO - Página 5 retornou 50 registros.
[2025-04-08T10:46:36.357+0000] {bronze.py:28} INFO - Página 6 retornou 50 registros.
[2025-04-08T10:46:37.168+0000] {bronze.py:28} INFO - Página 7 retornou 50 registros.
[2025-04-08T10:46:38.095+0000] {bronze.py:28} INFO - Página 8 retornou 50 registros.
[2025-04-08T10:46:38.583+0000] {bronze.py:28} INFO - Página 9 retornou 50 registros.
[2025-04-08T10:46:38.992+0000] {bronze.py:28} INFO - Página 10 retornou 50 registros.
[2025-04-08T10:46:39.439+0000] {bronze.py:28} INFO - Página 11 retornou 50 registros.
[2025-04-08T10:46:39.851+0000] {bronze.py:28} INFO - Página 12 retornou 50 registros.
[2025-04-08T10:46:40.373+0000] {bronze.py:28} INFO - Página 13 retornou 50 registros.
[2025-04-08T10:46:40.795+0000] {bronze.py:28} INFO - Página 14 retornou 50 registros.
[2025-04-08T10:46:41.184+0000] {bronze.py:28} INFO - Página 15 retornou 50 registros.
[2025-04-08T10:46:41.701+0000] {bronze.py:28} INFO - Página 16 retornou 50 registros.
[2025-04-08T10:46:42.331+0000] {bronze.py:28} INFO - Página 17 retornou 50 registros.
[2025-04-08T10:46:42.981+0000] {bronze.py:28} INFO - Página 18 retornou 50 registros.
[2025-04-08T10:46:43.380+0000] {bronze.py:28} INFO - Página 19 retornou 50 registros.
[2025-04-08T10:46:43.791+0000] {bronze.py:28} INFO - Página 20 retornou 50 registros.
[2025-04-08T10:46:44.184+0000] {bronze.py:28} INFO - Página 21 retornou 50 registros.
[2025-04-08T10:46:44.622+0000] {bronze.py:28} INFO - Página 22 retornou 50 registros.
[2025-04-08T10:46:45.256+0000] {bronze.py:28} INFO - Página 23 retornou 50 registros.
[2025-04-08T10:46:45.674+0000] {bronze.py:28} INFO - Página 24 retornou 50 registros.
[2025-04-08T10:46:46.072+0000] {bronze.py:28} INFO - Página 25 retornou 50 registros.
[2025-04-08T10:46:46.573+0000] {bronze.py:28} INFO - Página 26 retornou 50 registros.
[2025-04-08T10:46:46.984+0000] {bronze.py:28} INFO - Página 27 retornou 50 registros.
[2025-04-08T10:46:47.527+0000] {bronze.py:28} INFO - Página 28 retornou 50 registros.
[2025-04-08T10:46:47.951+0000] {bronze.py:28} INFO - Página 29 retornou 50 registros.
[2025-04-08T10:46:48.359+0000] {bronze.py:28} INFO - Página 30 retornou 50 registros.
[2025-04-08T10:46:48.931+0000] {bronze.py:28} INFO - Página 31 retornou 50 registros.
[2025-04-08T10:46:49.335+0000] {bronze.py:28} INFO - Página 32 retornou 50 registros.
[2025-04-08T10:46:50.064+0000] {bronze.py:28} INFO - Página 33 retornou 50 registros.
[2025-04-08T10:46:50.536+0000] {bronze.py:28} INFO - Página 34 retornou 50 registros.
[2025-04-08T10:46:51.308+0000] {bronze.py:28} INFO - Página 35 retornou 50 registros.
[2025-04-08T10:46:51.799+0000] {bronze.py:28} INFO - Página 36 retornou 50 registros.
[2025-04-08T10:46:52.395+0000] {bronze.py:28} INFO - Página 37 retornou 50 registros.
[2025-04-08T10:46:52.883+0000] {bronze.py:28} INFO - Página 38 retornou 50 registros.
[2025-04-08T10:46:53.297+0000] {bronze.py:28} INFO - Página 39 retornou 50 registros.
[2025-04-08T10:46:53.702+0000] {bronze.py:28} INFO - Página 40 retornou 50 registros.
[2025-04-08T10:46:54.187+0000] {bronze.py:28} INFO - Página 41 retornou 50 registros.
[2025-04-08T10:46:54.593+0000] {bronze.py:28} INFO - Página 42 retornou 50 registros.
[2025-04-08T10:46:55.014+0000] {bronze.py:28} INFO - Página 43 retornou 50 registros.
[2025-04-08T10:46:55.510+0000] {bronze.py:28} INFO - Página 44 retornou 50 registros.
[2025-04-08T10:46:55.949+0000] {bronze.py:28} INFO - Página 45 retornou 50 registros.
[2025-04-08T10:46:56.425+0000] {bronze.py:28} INFO - Página 46 retornou 50 registros.
[2025-04-08T10:46:56.900+0000] {bronze.py:28} INFO - Página 47 retornou 50 registros.
[2025-04-08T10:46:57.365+0000] {bronze.py:28} INFO - Página 48 retornou 50 registros.
[2025-04-08T10:46:57.840+0000] {bronze.py:28} INFO - Página 49 retornou 50 registros.
[2025-04-08T10:46:58.244+0000] {bronze.py:28} INFO - Página 50 retornou 50 registros.
[2025-04-08T10:46:59.082+0000] {bronze.py:28} INFO - Página 51 retornou 50 registros.
[2025-04-08T10:46:59.612+0000] {bronze.py:28} INFO - Página 52 retornou 50 registros.
[2025-04-08T10:47:00.059+0000] {bronze.py:28} INFO - Página 53 retornou 50 registros.
[2025-04-08T10:47:00.624+0000] {bronze.py:28} INFO - Página 54 retornou 50 registros.
[2025-04-08T10:47:01.075+0000] {bronze.py:28} INFO - Página 55 retornou 50 registros.
[2025-04-08T10:47:01.487+0000] {bronze.py:28} INFO - Página 56 retornou 50 registros.
[2025-04-08T10:47:01.885+0000] {bronze.py:28} INFO - Página 57 retornou 50 registros.
[2025-04-08T10:47:02.486+0000] {bronze.py:28} INFO - Página 58 retornou 50 registros.
[2025-04-08T10:47:02.942+0000] {bronze.py:28} INFO - Página 59 retornou 50 registros.
[2025-04-08T10:47:03.344+0000] {bronze.py:28} INFO - Página 60 retornou 50 registros.
[2025-04-08T10:47:03.771+0000] {bronze.py:28} INFO - Página 61 retornou 50 registros.
[2025-04-08T10:47:04.249+0000] {bronze.py:28} INFO - Página 62 retornou 50 registros.
[2025-04-08T10:47:04.783+0000] {bronze.py:28} INFO - Página 63 retornou 50 registros.
[2025-04-08T10:47:05.203+0000] {bronze.py:28} INFO - Página 64 retornou 50 registros.
[2025-04-08T10:47:05.661+0000] {bronze.py:28} INFO - Página 65 retornou 50 registros.
[2025-04-08T10:47:06.112+0000] {bronze.py:28} INFO - Página 66 retornou 50 registros.
[2025-04-08T10:47:06.573+0000] {bronze.py:28} INFO - Página 67 retornou 50 registros.
[2025-04-08T10:47:07.136+0000] {bronze.py:28} INFO - Página 68 retornou 50 registros.
[2025-04-08T10:47:07.520+0000] {bronze.py:28} INFO - Página 69 retornou 50 registros.
[2025-04-08T10:47:07.952+0000] {bronze.py:28} INFO - Página 70 retornou 50 registros.
[2025-04-08T10:47:08.663+0000] {bronze.py:28} INFO - Página 71 retornou 50 registros.
[2025-04-08T10:47:09.329+0000] {bronze.py:28} INFO - Página 72 retornou 50 registros.
[2025-04-08T10:47:09.904+0000] {bronze.py:28} INFO - Página 73 retornou 50 registros.
[2025-04-08T10:47:10.460+0000] {bronze.py:28} INFO - Página 74 retornou 50 registros.
[2025-04-08T10:47:11.013+0000] {bronze.py:28} INFO - Página 75 retornou 50 registros.
[2025-04-08T10:47:11.771+0000] {bronze.py:28} INFO - Página 76 retornou 50 registros.
[2025-04-08T10:47:12.260+0000] {bronze.py:28} INFO - Página 77 retornou 50 registros.
[2025-04-08T10:47:12.920+0000] {bronze.py:28} INFO - Página 78 retornou 50 registros.
[2025-04-08T10:47:13.344+0000] {bronze.py:28} INFO - Página 79 retornou 50 registros.
[2025-04-08T10:47:13.844+0000] {bronze.py:28} INFO - Página 80 retornou 50 registros.
[2025-04-08T10:47:14.257+0000] {bronze.py:28} INFO - Página 81 retornou 50 registros.
[2025-04-08T10:47:14.722+0000] {bronze.py:28} INFO - Página 82 retornou 50 registros.
[2025-04-08T10:47:15.176+0000] {bronze.py:28} INFO - Página 83 retornou 50 registros.
[2025-04-08T10:47:15.586+0000] {bronze.py:28} INFO - Página 84 retornou 50 registros.
[2025-04-08T10:47:16.011+0000] {bronze.py:28} INFO - Página 85 retornou 50 registros.
[2025-04-08T10:47:16.443+0000] {bronze.py:28} INFO - Página 86 retornou 50 registros.
[2025-04-08T10:47:16.851+0000] {bronze.py:28} INFO - Página 87 retornou 50 registros.
[2025-04-08T10:47:17.275+0000] {bronze.py:28} INFO - Página 88 retornou 50 registros.
[2025-04-08T10:47:17.831+0000] {bronze.py:28} INFO - Página 89 retornou 50 registros.
[2025-04-08T10:47:18.362+0000] {bronze.py:28} INFO - Página 90 retornou 50 registros.
[2025-04-08T10:47:19.071+0000] {bronze.py:28} INFO - Página 91 retornou 50 registros.
[2025-04-08T10:47:19.568+0000] {bronze.py:28} INFO - Página 92 retornou 50 registros.
[2025-04-08T10:47:20.050+0000] {bronze.py:28} INFO - Página 93 retornou 50 registros.
[2025-04-08T10:47:20.504+0000] {bronze.py:28} INFO - Página 94 retornou 50 registros.
[2025-04-08T10:47:20.921+0000] {bronze.py:28} INFO - Página 95 retornou 50 registros.
[2025-04-08T10:47:21.387+0000] {bronze.py:28} INFO - Página 96 retornou 50 registros.
[2025-04-08T10:47:21.936+0000] {bronze.py:28} INFO - Página 97 retornou 50 registros.
[2025-04-08T10:47:22.372+0000] {bronze.py:28} INFO - Página 98 retornou 50 registros.
[2025-04-08T10:47:22.883+0000] {bronze.py:28} INFO - Página 99 retornou 50 registros.
[2025-04-08T10:47:23.290+0000] {bronze.py:28} INFO - Página 100 retornou 50 registros.
[2025-04-08T10:47:23.767+0000] {bronze.py:28} INFO - Página 101 retornou 50 registros.
[2025-04-08T10:47:24.182+0000] {bronze.py:28} INFO - Página 102 retornou 50 registros.
[2025-04-08T10:47:24.606+0000] {bronze.py:28} INFO - Página 103 retornou 50 registros.
[2025-04-08T10:47:25.772+0000] {bronze.py:28} INFO - Página 104 retornou 50 registros.
[2025-04-08T10:47:26.166+0000] {bronze.py:28} INFO - Página 105 retornou 50 registros.
[2025-04-08T10:47:26.567+0000] {bronze.py:28} INFO - Página 106 retornou 50 registros.
[2025-04-08T10:47:26.969+0000] {bronze.py:28} INFO - Página 107 retornou 50 registros.
[2025-04-08T10:47:27.481+0000] {bronze.py:28} INFO - Página 108 retornou 50 registros.
[2025-04-08T10:47:27.889+0000] {bronze.py:28} INFO - Página 109 retornou 50 registros.
[2025-04-08T10:47:28.337+0000] {bronze.py:28} INFO - Página 110 retornou 50 registros.
[2025-04-08T10:47:28.973+0000] {bronze.py:28} INFO - Página 111 retornou 50 registros.
[2025-04-08T10:47:29.534+0000] {bronze.py:28} INFO - Página 112 retornou 50 registros.
[2025-04-08T10:47:29.938+0000] {bronze.py:28} INFO - Página 113 retornou 50 registros.
[2025-04-08T10:47:30.539+0000] {bronze.py:28} INFO - Página 114 retornou 50 registros.
[2025-04-08T10:47:31.036+0000] {bronze.py:28} INFO - Página 115 retornou 50 registros.
[2025-04-08T10:47:31.455+0000] {bronze.py:28} INFO - Página 116 retornou 50 registros.
[2025-04-08T10:47:31.920+0000] {bronze.py:28} INFO - Página 117 retornou 50 registros.
[2025-04-08T10:47:32.415+0000] {bronze.py:28} INFO - Página 118 retornou 50 registros.
[2025-04-08T10:47:32.864+0000] {bronze.py:28} INFO - Página 119 retornou 50 registros.
[2025-04-08T10:47:33.401+0000] {bronze.py:28} INFO - Página 120 retornou 50 registros.
[2025-04-08T10:47:33.833+0000] {bronze.py:28} INFO - Página 121 retornou 50 registros.
[2025-04-08T10:47:34.362+0000] {bronze.py:28} INFO - Página 122 retornou 50 registros.
[2025-04-08T10:47:34.831+0000] {bronze.py:28} INFO - Página 123 retornou 50 registros.
[2025-04-08T10:47:35.257+0000] {bronze.py:28} INFO - Página 124 retornou 50 registros.
[2025-04-08T10:47:35.962+0000] {bronze.py:28} INFO - Página 125 retornou 50 registros.
[2025-04-08T10:47:36.654+0000] {bronze.py:28} INFO - Página 126 retornou 50 registros.
[2025-04-08T10:47:37.091+0000] {bronze.py:28} INFO - Página 127 retornou 50 registros.
[2025-04-08T10:47:37.511+0000] {bronze.py:28} INFO - Página 128 retornou 50 registros.
[2025-04-08T10:47:37.936+0000] {bronze.py:28} INFO - Página 129 retornou 50 registros.
[2025-04-08T10:47:38.319+0000] {bronze.py:28} INFO - Página 130 retornou 50 registros.
[2025-04-08T10:47:38.966+0000] {bronze.py:28} INFO - Página 131 retornou 50 registros.
[2025-04-08T10:47:39.371+0000] {bronze.py:28} INFO - Página 132 retornou 50 registros.
[2025-04-08T10:47:39.777+0000] {bronze.py:28} INFO - Página 133 retornou 50 registros.
[2025-04-08T10:47:40.228+0000] {bronze.py:28} INFO - Página 134 retornou 50 registros.
[2025-04-08T10:47:40.665+0000] {bronze.py:28} INFO - Página 135 retornou 50 registros.
[2025-04-08T10:47:41.082+0000] {bronze.py:28} INFO - Página 136 retornou 50 registros.
[2025-04-08T10:47:41.516+0000] {bronze.py:28} INFO - Página 137 retornou 50 registros.
[2025-04-08T10:47:41.968+0000] {bronze.py:28} INFO - Página 138 retornou 50 registros.
[2025-04-08T10:47:42.626+0000] {bronze.py:28} INFO - Página 139 retornou 50 registros.
[2025-04-08T10:47:43.190+0000] {bronze.py:28} INFO - Página 140 retornou 50 registros.
[2025-04-08T10:47:43.617+0000] {bronze.py:28} INFO - Página 141 retornou 50 registros.
[2025-04-08T10:47:44.047+0000] {bronze.py:28} INFO - Página 142 retornou 50 registros.
[2025-04-08T10:47:44.775+0000] {bronze.py:28} INFO - Página 143 retornou 50 registros.
[2025-04-08T10:47:45.492+0000] {bronze.py:28} INFO - Página 144 retornou 50 registros.
[2025-04-08T10:47:46.103+0000] {bronze.py:28} INFO - Página 145 retornou 50 registros.
[2025-04-08T10:47:46.593+0000] {bronze.py:28} INFO - Página 146 retornou 50 registros.
[2025-04-08T10:47:47.139+0000] {bronze.py:28} INFO - Página 147 retornou 50 registros.
[2025-04-08T10:47:47.570+0000] {bronze.py:28} INFO - Página 148 retornou 50 registros.
[2025-04-08T10:47:48.004+0000] {bronze.py:28} INFO - Página 149 retornou 50 registros.
[2025-04-08T10:47:48.579+0000] {bronze.py:28} INFO - Página 150 retornou 50 registros.
[2025-04-08T10:47:49.372+0000] {bronze.py:28} INFO - Página 151 retornou 50 registros.
[2025-04-08T10:47:49.888+0000] {bronze.py:28} INFO - Página 152 retornou 50 registros.
[2025-04-08T10:47:50.334+0000] {bronze.py:28} INFO - Página 153 retornou 50 registros.
[2025-04-08T10:47:51.530+0000] {bronze.py:28} INFO - Página 154 retornou 50 registros.
[2025-04-08T10:47:51.965+0000] {bronze.py:28} INFO - Página 155 retornou 50 registros.
[2025-04-08T10:47:52.547+0000] {bronze.py:28} INFO - Página 156 retornou 50 registros.
[2025-04-08T10:47:53.056+0000] {bronze.py:28} INFO - Página 157 retornou 50 registros.
[2025-04-08T10:47:53.483+0000] {bronze.py:28} INFO - Página 158 retornou 50 registros.
[2025-04-08T10:47:53.909+0000] {bronze.py:28} INFO - Página 159 retornou 50 registros.
[2025-04-08T10:47:54.339+0000] {bronze.py:28} INFO - Página 160 retornou 50 registros.
[2025-04-08T10:47:55.205+0000] {bronze.py:28} INFO - Página 161 retornou 50 registros.
[2025-04-08T10:47:55.885+0000] {bronze.py:28} INFO - Página 162 retornou 50 registros.
[2025-04-08T10:47:56.374+0000] {bronze.py:28} INFO - Página 163 retornou 50 registros.
[2025-04-08T10:47:56.847+0000] {bronze.py:28} INFO - Página 164 retornou 50 registros.
[2025-04-08T10:47:57.273+0000] {bronze.py:28} INFO - Página 165 retornou 50 registros.
[2025-04-08T10:47:57.806+0000] {bronze.py:28} INFO - Página 166 retornou 50 registros.
[2025-04-08T10:47:58.215+0000] {bronze.py:28} INFO - Página 167 retornou 50 registros.
[2025-04-08T10:47:58.758+0000] {bronze.py:28} INFO - Página 168 retornou 19 registros.
[2025-04-08T10:47:59.170+0000] {bronze.py:28} INFO - Página 169 retornou 0 registros.
[2025-04-08T10:47:59.173+0000] {bronze.py:49} INFO - Total de páginas com dados: 168
[2025-04-08T10:48:00.061+0000] {bronze.py:28} INFO - Página 6 retornou 50 registros.
[2025-04-08T10:48:00.062+0000] {bronze.py:28} INFO - Página 2 retornou 50 registros.
[2025-04-08T10:48:00.088+0000] {bronze.py:28} INFO - Página 4 retornou 50 registros.
[2025-04-08T10:48:00.432+0000] {bronze.py:28} INFO - Página 8 retornou 50 registros.
[2025-04-08T10:48:00.434+0000] {bronze.py:28} INFO - Página 9 retornou 50 registros.
[2025-04-08T10:48:00.437+0000] {bronze.py:28} INFO - Página 5 retornou 50 registros.
[2025-04-08T10:48:00.441+0000] {bronze.py:28} INFO - Página 3 retornou 50 registros.
[2025-04-08T10:48:00.443+0000] {bronze.py:28} INFO - Página 7 retornou 50 registros.
[2025-04-08T10:48:00.444+0000] {bronze.py:28} INFO - Página 10 retornou 50 registros.
[2025-04-08T10:48:00.541+0000] {bronze.py:28} INFO - Página 1 retornou 50 registros.
[2025-04-08T10:48:01.150+0000] {bronze.py:28} INFO - Página 12 retornou 50 registros.
[2025-04-08T10:48:01.209+0000] {bronze.py:28} INFO - Página 11 retornou 50 registros.
[2025-04-08T10:48:01.268+0000] {bronze.py:28} INFO - Página 13 retornou 50 registros.
